Buy,Sell,Value
45,29,4846.23
45,30,6247.48
45,31,6730.59
45,32,6794.56
45,33,6806.02
45,34,6747.55
45,35,6323.80
45,36,6642.33
45,37,8733.59
45,38,6663.36
45,39,5189.08
45,40,4269.02
45,41,4684.37
45,42,4868.67
45,43,4057.89
45,44,4472.48
46,0,2148.15
46,1,2148.15
46,2,2148.15
46,3,2148.15
46,4,2148.15
46,5,2620.48
46,6,2007.33
46,7,2258.66
46,8,1597.08
46,9,1532.97
46,10,940.86
46,11,717.96
46,12,1019.75
46,13,910.64
46,14,2163.32
46,15,1306.20
46,16,1471.62
46,17,1674.83
46,18,2032.78
46,19,2294.79
46,20,2662.29
46,21,2678.96
46,22,2776.70
46,23,3904.58
46,24,3997.19
46,25,4935.32
46,26,5673.46
46,27,4888.63
46,28,5373.43
46,29,4686.08
46,30,6061.20
46,31,6532.31
46,32,6594.30
46,33,6604.34
46,34,6407.44
46,35,6002.72
46,36,6307.17
46,37,8306.80
46,38,6331.52
46,39,4925.00
46,40,4319.97
46,41,4740.50
46,42,4926.36
46,43,4048.70
46,44,4475.41
46,45,3758.01
47,0,2148.15
47,1,2148.15
47,2,2148.15
47,3,2148.15
47,4,2148.15
47,5,2620.48
47,6,2004.07
47,7,2255.13
47,8,1594.28
47,9,1530.25
47,10,938.83
47,11,716.17
47,12,1017.64
47,13,908.65
47,14,2195.98
47,15,1329.89
47,16,1497.04
47,17,1702.38
47,18,2064.02
47,19,2328.76
47,20,2527.05
47,21,2545.99
47,22,2639.86
47,23,3726.79
47,24,3816.23
47,25,4717.14
47,26,5427.79
47,27,4675.96
47,28,5143.22
47,29,4481.05
47,30,5805.37
47,31,6259.98
47,32,6324.24
47,33,6336.20
47,34,6150.34
47,35,5760.07
47,36,6053.88
47,37,7984.96
47,38,6241.24
47,39,4860.79
47,40,4266.13
47,41,4682.25
47,42,4870.28
47,43,3937.68
47,44,4421.38
47,45,3991.01
47,46,3724.89
48,0,2148.15
48,1,2148.15
48,2,2148.15
48,3,2148.15
48,4,2148.15
48,5,2620.48
48,6,2490.49
48,7,2782.50
48,8,2012.70
48,9,1937.53
48,10,1241.97
48,11,984.38
48,12,1333.40
48,13,1206.40
48,14,2697.59
48,15,1606.44
48,16,1952.39
48,17,2196.77
48,18,2625.94
48,19,2939.67
48,20,3391.54
48,21,3365.12
48,22,3482.56
48,23,4890.37
48,24,5053.19
48,25,5605.17
48,26,6428.44
48,27,5650.49
48,28,6198.18
48,29,5502.31
48,30,6291.36
48,31,6690.71
48,32,7540.40
48,33,7541.06
48,34,7312.75
48,35,6857.13
48,36,7199.07
48,37,9441.04
48,38,7166.40
48,39,5541.85
48,40,4795.25
48,41,5134.83
48,42,5328.20
48,43,5258.49
48,44,5817.47
48,45,5210.89
48,46,4873.79
48,47,4162.28
49,0,2148.15
49,1,2148.15
49,2,2148.15
49,3,2148.15
49,4,2148.15
49,5,2620.48
49,6,2490.49
49,7,2782.50
49,8,2012.70
49,9,2065.46
49,10,1327.07
49,11,1059.35
49,12,1421.67
49,13,1270.95
49,14,3084.27
49,15,1877.24
49,16,2179.95
49,17,2443.62
49,18,2906.19
49,19,3110.61
49,20,3582.97
49,21,3555.13
49,22,3677.81
49,23,5147.33
49,24,5317.27
49,25,5893.76
49,26,6753.50
49,27,5941.14
49,28,6512.83
49,29,5786.50
49,30,6610.91
49,31,6689.57
49,32,7539.58
49,33,7540.38
49,34,7312.43
49,35,6856.53
49,36,7165.92
49,37,9398.74
49,38,7390.49
49,39,5603.17
49,40,4783.25
49,41,5122.57
49,42,5316.98
49,43,5274.61
49,44,5835.55
49,45,5407.19
49,46,5058.38
49,47,4324.85
49,48,4781.20
50,0,2148.15
50,1,2148.15
50,2,2148.15
50,3,2148.15
50,4,2148.15
50,5,2620.48
50,6,2490.49
50,7,2782.50
50,8,1810.20
50,9,1859.72
50,10,1171.39
50,11,921.94
50,12,1259.90
50,13,1119.66
50,14,2810.40
50,15,1475.01
50,16,1735.36
50,17,1961.75
50,18,2359.27
50,19,2534.91
50,20,2940.45
50,21,2916.79
50,22,3022.10
50,23,4284.45
50,24,4430.49
50,25,4925.41
50,26,5663.70
50,27,4966.89
50,28,5458.17
50,29,4833.94
50,30,5404.11
50,31,5473.33
50,32,6187.24
50,33,5640.34
50,34,5574.27
50,35,5215.10
50,36,5459.42
50,37,7225.68
50,38,5567.84
50,39,4082.09
50,40,3731.82
50,41,3990.93
50,42,4154.72
50,43,4144.27
50,44,4608.56
50,45,4221.87
50,46,3940.44
50,47,3382.42
50,48,3830.89
50,49,4137.31
51,0,2148.15
51,1,2148.15
51,2,2148.15
51,3,2148.15
51,4,2148.15
51,5,2620.48
51,6,2490.49
51,7,2782.50
51,8,1810.20
51,9,1859.72
51,10,1143.68
51,11,897.46
51,12,1231.07
51,13,1092.70
51,14,2761.59
51,15,1443.56
51,16,1700.60
51,17,1924.05
51,18,2316.46
51,19,2489.85
51,20,2890.23
51,21,2866.97
51,22,2970.89
51,23,4217.05
51,24,4361.23
51,25,4849.69
51,26,5578.45
51,27,4786.68
51,28,5263.08
51,29,4657.74
51,30,5210.55
51,31,5278.23
51,32,5970.09
51,33,5440.74
51,34,5687.28
51,35,5321.79
51,36,5570.35
51,37,7456.84
51,38,6048.59
51,39,4423.36
51,40,3805.91
51,41,4081.60
51,42,4115.92
51,43,4048.99
51,44,4504.98
51,45,4269.82
51,46,3985.51
51,47,3543.73
51,48,3898.70
51,49,4199.00
51,50,3798.53
52,0,2148.15
52,1,2148.15
52,2,2148.15
52,3,2148.15
52,4,2148.15
52,5,2620.48
52,6,2490.49
52,7,2782.50
52,8,1810.20
52,9,1859.72
52,10,1143.68
52,11,897.46
52,12,1231.07
52,13,1136.82
52,14,2841.28
52,15,1501.38
52,16,1764.54
52,17,1993.35
52,18,2395.10
52,19,2572.63
52,20,2883.86
52,21,2671.58
52,22,2769.78
52,23,3952.38
52,24,4089.23
52,25,4551.41
52,26,5242.57
52,27,4496.68
52,28,4949.15
52,29,4374.20
52,30,4902.54
52,31,4967.76
52,32,5623.53
52,33,5125.74
52,34,5358.73
52,35,5011.74
52,36,5248.00
52,37,7042.82
52,38,5712.26
52,39,3943.53
52,40,3267.22
52,41,3731.61
52,42,3768.29
52,43,3706.95
52,44,4073.33
52,45,3588.09
52,46,3343.33
52,47,2995.65
52,48,3325.52
52,49,3798.66
52,50,4044.46
52,51,2983.25
53,0,2148.15
53,1,2148.15
53,2,2148.15
53,3,2148.15
53,4,2148.15
53,5,2620.48
53,6,2232.42
53,7,2502.70
53,8,1603.27
53,9,1649.48
53,10,990.10
53,11,761.57
53,12,1071.09
53,13,975.62
53,14,2549.49
53,15,1312.84
53,16,1556.09
53,17,1767.34
53,18,2138.35
53,19,2302.37
53,20,2417.87
53,21,2965.86
53,22,2965.86
53,23,4210.43
53,24,4354.42
53,25,4841.89
53,26,5569.60
53,27,4780.33
53,28,5256.21
53,29,4651.54
53,30,5207.95
53,31,5275.59
53,32,5966.74
53,33,4969.39
53,34,5197.70
53,35,4859.69
53,36,5089.92
53,37,6839.51
53,38,5566.30
53,39,4567.58
53,40,3662.16
53,41,4170.75
53,42,4050.48
53,43,3985.25
53,44,4810.73
53,45,4824.86
53,46,4508.17
53,47,4072.10
53,48,4514.15
53,49,4656.38
53,50,4671.89
53,51,3873.92
53,52,3628.27
54,0,2148.15
54,1,2148.15
54,2,2148.15
54,3,2148.15
54,4,2148.15
54,5,2394.44
54,6,1975.01
54,7,2223.63
54,8,1396.42
54,9,1439.32
54,10,742.11
54,11,542.62
54,12,813.33
54,13,730.48
54,14,2105.70
54,15,1025.81
54,16,1239.05
54,17,1423.59
54,18,1748.07
54,19,1891.55
54,20,1994.34
54,21,2473.29
54,22,2473.29
54,23,3562.19
54,24,3688.23
54,25,4113.83
54,26,4750.06
54,27,4065.10
54,28,4481.94
54,29,3952.22
54,30,5121.05
54,31,5188.02
54,32,5873.87
54,33,4877.52
54,34,5105.12
54,35,4772.29
54,36,4999.05
54,37,6721.60
54,38,5331.97
54,39,4369.05
54,40,3494.69
54,41,3984.68
54,42,3863.10
54,43,3800.53
54,44,4602.55
54,45,4617.22
54,46,4312.60
54,47,3894.51
54,48,4167.23
54,49,4417.44
54,50,4060.62
54,51,3528.82
54,52,3308.46
54,53,3084.74
55,0,2191.99
55,1,2191.99
55,2,2191.99
55,3,2191.99
55,4,2191.99
55,5,2413.72
55,6,2001.93
55,7,2252.79
55,8,1418.07
55,9,1461.38
55,10,659.79
55,11,469.83
55,12,727.62
55,13,659.36
55,14,1976.62
55,15,1446.83
55,16,1905.11
55,17,2145.44
55,18,2625.34
55,19,2743.00
55,20,3789.96
55,21,4561.93
55,22,4561.93
55,23,5559.98
55,24,5741.34
55,25,5836.36
55,26,6688.75
55,27,5763.49
55,28,6320.62
55,29,5612.90
55,30,7085.01
55,31,6854.47
55,32,7729.68
55,33,6439.82
55,34,6732.70
55,35,6309.09
55,36,6473.84
55,37,8623.12
55,38,6876.38
55,39,5494.85
55,40,4176.85
55,41,4743.50
55,42,4596.48
55,43,4524.10
55,44,5204.20
55,45,5221.31
55,46,4883.09
55,47,4668.95
55,48,4972.45
55,49,5786.73
55,50,5082.09
55,51,4427.07
55,52,4331.96
55,53,3877.00
55,54,3048.32
56,0,1894.06
56,1,1894.06
56,2,1894.06
56,3,1894.06
56,4,1894.06
56,5,2095.03
56,6,1637.97
56,7,1858.29
56,8,1145.71
56,9,1184.21
56,10,474.59
56,11,305.93
56,12,534.75
56,13,474.26
56,14,1643.34
56,15,1173.26
56,16,1580.07
56,17,1793.35
56,18,2219.23
56,19,2323.68
56,20,3253.97
56,21,3939.03
56,22,3939.03
56,23,4825.05
56,24,4986.07
56,25,5070.42
56,26,5827.05
56,27,5007.79
56,28,5502.57
56,29,4874.05
56,30,6180.42
56,31,5975.89
56,32,6752.53
56,33,5609.66
56,34,5869.39
56,35,5493.30
56,36,5639.61
56,37,7229.68
56,38,5597.45
56,39,4443.64
56,40,3344.22
56,41,3818.80
56,42,3699.45
56,43,3638.99
56,44,4223.48
56,45,4239.08
56,46,3955.86
